r,v
0.05,33.42496
0.1,71.70398
0.15,95.14708
0.2,107.32276
0.25,117.44285
0.3,124.25143999999999
0.35,130.39847
0.4,136.9344
0.45,141.66911000000002
0.5,143.51205
0.55,143.83903999999998
0.6,143.95903
0.65,144.12098999999998
0.7,144.37587
0.75,144.95015
0.8,146.47353
0.85,149.48618000000002
0.9,153.46065
0.95,157.66418000000002
1.0,162.1356
1.05,166.77538
1.1,171.13425
1.15,175.25593999999998
1.2,179.49434
1.25,183.9558
1.3,188.63023
1.35,193.5457
1.4,198.59357
1.45,203.25203
1.5,207.71901
1.55,211.84045
1.6,215.52901
1.65,218.77106
1.7,221.60422999999997
1.75,224.0806
1.8,226.24336
1.85,228.12952
1.9,229.78488
1.95,231.26959
2.0,232.64702000000003
2.05,233.966
2.1,235.24873
2.15,236.48907000000003
2.2,237.65958999999998
2.25,238.72487999999998
2.3,239.65669
2.35,240.44406
2.4,241.09297
2.45,241.61716
2.5,242.02829
2.55,242.33158999999998
2.6,242.52576000000002
2.65,242.60271
2.7,242.54765
2.75,242.34454
2.8,241.98824
2.85,241.49603
2.9,240.90944
2.95,240.28332999999998
3.0,239.66965
3.05,239.10606
3.1,238.61502000000002
3.15,238.21082
3.2,237.90659
3.25,237.7146
3.3,237.64076
3.35,237.6805
3.4,237.82143
3.45,238.05002000000002
3.5,238.35536000000002
3.55,238.72717000000003
3.6,239.15173
3.65,239.61097999999998
3.7,240.08607
3.75,240.56219
3.8,241.03132999999997
3.85,241.49213999999998
3.9,241.94762000000003
3.95,242.40256000000002
4.0,242.86174
4.05,243.32991
4.1,243.81257999999997
4.15,244.31662000000003
4.2,244.84885
4.25,245.41154
4.3,245.9971
4.35,246.58475
4.4,247.14282000000003
4.45,247.63721
4.5,248.04242999999997
4.55,248.34978999999998
4.6,248.5677
4.65,248.71567000000002
4.7,248.81627999999998
4.75,248.89033999999998
4.8,248.95562999999999
4.85,249.02707999999998
4.9,249.11553999999998
4.95,249.22485
5.0,249.34857000000002
5.05,249.46857000000003
5.1,249.55754
5.15,249.58622999999997
5.2,249.53329
5.25,249.39317000000003
5.3,249.1769
5.35,248.90559
5.4,248.60089
5.45,248.27787999999998
5.5,247.94295
5.55,247.5957
5.6,247.23273999999998
5.65,246.85102999999998
5.7,246.45036000000002
5.75,246.03366
5.8,245.60571000000002
5.85,245.17126000000002
5.9,244.7339
5.95,244.2961
6.0,243.86041
6.05,243.43105
6.1,243.01505
6.15,242.62202000000002
6.2,242.26187000000002
6.25,241.94171
6.3,241.66388999999998
6.35,241.42641
6.4,241.22417000000002
6.45,241.04857
6.5,240.88457999999997
6.55,240.7076
6.6,240.4845
6.65,240.18193
6.7,239.77922
6.75,239.27947999999998
6.8,238.71162
6.85,238.12114
6.9,237.55427999999998
6.95,237.04393
7.0,236.60384
7.05,236.23182999999997
7.1,235.91817000000003
7.15,235.65218
7.2,235.42381
7.25,235.22121
7.3,235.02867
7.35,234.82802999999998
7.4,234.60361
7.45,234.34772
7.5,234.06398
7.55,233.76627000000002
7.6,233.47351
7.65,233.203
7.7,232.96523
7.75,232.76238999999998
7.8,232.59108999999998
7.85,232.44609
7.9,232.32242999999997
7.95,232.2151
8.0,232.11725
8.05,232.01968
8.1,231.91231000000002
8.15,231.787
8.2,231.64022999999997
8.25,231.4735
8.3,231.29172999999997
8.35,231.10042
8.4,230.90313999999998
8.45,230.69995
8.5,230.48715
8.55,230.2578
8.6,230.00397
8.65,229.72021
8.7,229.40675
8.75,229.07016000000002
8.8,228.72137
8.85,228.37184
8.9,228.03017999999997
8.95,227.701
9.0,227.38573
9.05,227.0843
9.1,226.79652000000002
9.15,226.52211
9.2,226.26041
9.25,226.01022000000003
9.3,225.77032000000003
9.35,225.5397
9.4,225.31772
9.45,225.10365
9.5,224.89674
9.55,224.69627000000003
9.6,224.50185
9.65,224.31317
9.7,224.13003999999998
9.75,223.95224
9.8,223.77975
9.85,223.61275
9.9,223.45127999999997
9.95,223.29532000000003
10.0,223.14471
10.05,222.9995
10.1,222.85976000000002
10.15,222.72548999999998
10.2,222.59625
10.25,222.47141000000002
10.3,222.3502
10.35,222.2319
10.4,222.11539
10.45,221.9987
10.5,221.87906
10.55,221.75345
10.6,221.61972000000003
10.65,221.47771
10.7,221.32959
10.75,221.17924
10.8,221.03099
10.85,220.88837
10.9,220.75359
10.95,220.6279
11.0,220.51231
11.05,220.40791000000002
11.1,220.31564
11.15,220.23588999999998
11.2,220.1685
11.25,220.11325
11.3,220.06963
11.35,220.0359
11.4,220.00755
11.45,219.97633
11.5,219.93166000000002
11.55,219.86373999999998
11.6,219.76814
11.65,219.64867
11.7,219.51713999999998
11.75,219.38977000000003
11.8,219.28148
11.85,219.20102999999997
11.9,219.14925
11.95,219.12067000000002
12.0,219.10732000000002
12.05,219.10214
12.1,219.10051
12.15,219.1001
12.2,219.10002000000003
12.25,219.10001
12.3,219.10001
12.35,219.10001
12.4,219.10001
12.45,219.10001
12.5,219.10001
12.55,219.10001
12.6,219.10001
12.65,219.10001
12.7,219.10001
12.75,219.10001
12.8,219.10001
12.85,219.10001
12.9,219.10001
12.95,219.10001
13.0,219.10001
13.05,219.10001
13.1,219.10001
13.15,219.10001
13.2,219.10001
13.25,219.10001
13.3,219.10001
13.35,219.10001
13.4,219.10001
13.45,219.10001
13.5,219.10001
13.55,219.10001
13.6,219.10001
13.65,219.10001
13.7,219.10001
13.75,219.10001
13.8,219.10001
13.85,219.10001
13.9,219.10001
13.95,219.10001
14.0,219.10001
14.05,219.10001
14.1,219.10001
14.15,219.10001
14.2,219.10001
14.25,219.10001
14.3,219.10001
14.35,219.10001
14.4,219.10001
14.45,219.10001
14.5,219.10001
14.55,219.10001
14.6,219.10001
14.65,219.10001
14.7,219.10001
14.75,219.10001
14.8,219.10001
14.85,219.10001
14.9,219.10001
14.95,219.10001
15.0,219.10001
15.05,219.10001
15.1,219.10001
15.15,219.10001
15.2,219.10001
15.25,219.10001
15.3,219.10001
15.35,219.10001
15.4,219.10001
15.45,219.10001
15.5,219.10001
15.55,219.10001
15.6,219.10001
15.65,219.10001
15.7,219.10001
15.75,219.10001
15.8,219.10001
15.85,219.10001
15.9,219.10001
15.95,219.10001
16.0,219.10001
16.05,219.10001
16.1,219.10005
16.15,219.10027999999997
16.2,219.10132000000002
16.25,219.105
16.3,219.11522999999997
16.35,219.1387
16.4,219.18361000000002
16.45,219.25667
16.5,219.35904
16.55,219.48386000000002
16.6,219.61702999999997
16.65,219.74173
16.7,219.8439
16.75,219.91675
16.8,219.96149
16.85,219.98485
16.9,219.99506
16.95,219.9987
17.0,219.99974
17.05,219.99995
17.1,220.0
17.15,220.0
17.2,220.0
17.25,220.0
17.3,220.00002
17.35,220.00015
17.4,220.00083999999998
17.45,220.00332999999998
17.5,220.01062000000002
17.55,220.0282
17.6,220.06361
17.65,220.12433
17.7,220.21403999999998
17.75,220.32939
17.8,220.4594
17.85,220.58822999999998
17.9,220.70044
17.95,220.78602999999998
18.0,220.84277000000003
18.05,220.87515
18.1,220.89084
18.15,220.8972
18.2,220.89931
18.25,220.89986000000002
18.3,220.90001
18.35,220.90022000000002
18.4,220.90117
18.45,220.90446
18.5,220.9137
18.55,220.93477000000001
18.6,220.97502000000003
18.65,221.04037000000002
18.7,221.13177000000002
18.75,221.24298
18.8,221.36139
18.85,221.47207999999998
18.9,221.56285
18.95,221.62831
19.0,221.67067999999998
19.05,221.69762999999998
19.1,221.71841
19.15,221.74092000000002
19.2,221.77042000000003
19.25,221.81037999999998
19.3,221.86375
19.35,221.93348999999998
19.4,222.0218
19.45,222.12917000000002
19.5,222.25395
19.55,222.39333
19.6,222.54425
19.65,222.70345
19.7,222.86643999999998
19.75,223.02641
19.8,223.17458
19.85,223.30241
19.9,223.40515
19.95,223.48443999999998
20.0,223.54857
20.05,223.60983
20.1,223.68027999999998
20.15,223.76805
20.2,223.87592999999998
20.25,224.00252000000003
20.3,224.14456
20.35,224.2989
20.4,224.46307000000002
20.45,224.63499
20.5,224.8125
20.55,224.99355
20.6,225.1765
20.65,225.36028
20.7,225.54436
20.75,225.72849
20.8,225.91258
20.85,226.09645
20.9,226.27962000000002
20.95,226.46114
21.0,226.63947000000002
21.05,226.81284
21.1,226.98001000000002
21.15,227.14122000000003
21.2,227.29877000000002
21.25,227.45667000000003
21.3,227.61935
21.35,227.78984
21.4,227.96812000000003
21.45,228.15053999999998
21.5,228.33062999999999
21.55,228.50107999999997
21.6,228.65642000000003
21.65,228.79456000000002
21.7,228.91676
21.75,229.0264
21.8,229.12714
21.85,229.22221000000002
21.9,229.31488
21.95,229.40895
22.0,229.50902999999997
22.05,229.61961000000002
22.1,229.7437
22.15,229.88188
22.2,230.03256000000002
22.25,230.19312999999997
22.3,230.36108
22.35,230.53457999999998
22.4,230.7122
22.45,230.89278
22.5,231.07522999999998
22.55,231.25861
22.6,231.44215
22.65,231.62517000000003
22.7,231.80678999999998
22.75,231.98611
22.8,232.16234
22.85,232.3353
22.9,232.50571000000002
22.95,232.67506
23.0,232.84526
23.05,233.0179
23.1,233.1938
23.15,233.37285
23.2,233.55434
23.25,233.73732
